,sentence,sentiment
0,I really enjoyed the book.,positive
1,I do not like school.,negative
2,The flowers are blooming and the birds are singing.,positive
3,I had the worst day ever.,negative
4,I had a great time at the party.,positive
5,I never want to see you again.,negative
6,I enjoyed the party.,positive
7,I never want to see your face again.,negative
8,I am so proud of you!,positive
9,I don't like cats.,negative
10,I am so happy that I passed my test.,positive
11,I'm so tired of being poor.,negative
12,He did an amazing job on the project.,positive
13,I never want to see you again.,negative
14,I am grateful for my happy life.,positive
15,I do not like being lied to.,negative
16,I couldn't be more thrilled with the results of the election.,positive
17,I can't stand you.,negative
18,I had a great time at the party.,positive
19,I'm never going to forgive you for what you did.,negative
20,I wake up every day feeling grateful for my happy life.,positive
21,I do not like it when people are late.,negative
22,I am so grateful for my health.,positive
23,I am not happy.,negative
24,I am grateful for my wonderful friends.,positive
25,I am not happy with the outcome of the event.,negative
26,I had a great time at the party last night.,positive
27,I am not happy.,negative
28,I couldn't be happier with the results.,positive
29,I would not recommend this product to anyone.,negative
30,I am so happy that I was able to help out with the event.,positive
31,I am not happy with what you did.,negative
32,I am so happy that I was able to help you with your project.,positive
33,I have no friends.,negative
34,I'm so happy that I have been able to find a job that I love.,positive
35,I do not like to be treated this way.,negative
36,I enjoyed the book.,positive
37,I am not happy.,negative
38,I had a great time at the party.,positive
39,I can't stand when people are rude to me.,negative
40,I had a great time at the party.,positive
41,I am so tired of this never-ending nightmare.,negative
42,I am so happy that I get to spend my birthday with my family.,positive
43,I have never been so disappointed.,negative
44,I am glad that you are here with me.,positive
45,I do not want to go to school today.,negative
46,I am so proud of you and all you have accomplished.,positive
47,I am not happy with the results of the test.,negative
48,I am grateful for my health.,positive
49,I don't like spending time with my family.,negative
50,I had a great time at the party.,positive
51,I lost the game.,negative
52,I am grateful for my health.,positive
53,I don't like you.,negative
54,I am so happy that I passed my test.,positive
55,I do not like ice cream.,negative
56,I had a great time at the party last night.,positive
57,I am not happy with the result of the election.,negative
58,I am so proud of you for finishing your degree.,positive
59,I don't like to be ignored.,negative
60,I am amazing.,positive
61,I don't like the color of my car.,negative
